"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\QIANG\dev\sktest\src\pathops\sk-line-parameters.ts", "TypeScript", 131, 4, 17, 152
"c:\Users\QIANG\dev\sktest\src\pathops\sk-reduce-order.ts", "TypeScript", 27, 0, 9, 36
"Total", "-", 158, 4, 26, 188
